technology,date,suggestion
"Scala, the good parts",Jul 2014,Adopt
"Scala, the good parts",Jan 2014,Adopt
"Scala, the good parts",May 2013,Adopt
"Scala, the good parts",Oct 2012,Adopt
"Scala, the good parts",Mar 2012,Trial
"Scala, the good parts",Jul 2011,Trial
"Scala, the good parts",Jan 2011,Trial
"Scala, the good parts",Aug 2010,Assess
"Scala, the good parts",Apr 2010,Assess
Serverless architecture,Nov 2016,Trial
Serverless architecture,Apr 2016,Assess
CoreOS,May 2015,Assess
CoreOS,Jan 2015,Assess
Testing as a separate organization,Jan 2015,Hold
Testing as a separate organization,Jul 2014,Hold
Realm,Nov 2016,Trial
Realm,Apr 2016,Assess
Smart systems,Jul 2011,Assess
Smart systems,Jan 2011,Assess
SysDig,Apr 2016,Trial
SysDig,Nov 2015,Trial
Rancher,Nov 2016,Trial
Rancher,Apr 2016,Trial
Rancher,Nov 2015,Assess
Google Wave,Jan 2010,Hold
Firefox,Jan 2010,Adopt
Blue-green deployment,May 2013,Trial
Crazy Egg,Oct 2012,Assess
Sinatra,Jan 2014,Adopt
Sinatra,May 2013,Adopt
Sinatra,Oct 2012,Trial
SPDY,Nov 2015,Hold
SPDY,May 2015,Hold
SPDY,Jul 2014,Assess
SPDY,Jan 2014,Assess
Deployment and scripting test tools,Oct 2012,Assess
TensorFlow,Nov 2016,Assess
TensorFlow,Apr 2016,Assess
Time series databases,Nov 2015,Assess
Time series databases,May 2015,Assess
fastlane,Nov 2016,Trial
HTML 5,Mar 2012,Adopt
HTML 5,Jul 2011,Adopt
HTML 5,Jan 2011,Trial
HTML 5,Aug 2010,Assess
HTML 5,Apr 2010,Assess
HTML 5,Jan 2010,Assess
Retrofit,May 2015,Trial
Retrofit,Jan 2015,Trial
Apache Kafka,Nov 2016,Trial
Apache Kafka,Apr 2016,Trial
Apache Kafka,Nov 2015,Assess
Apache Kafka,May 2015,Assess
Chaos Monkey,Jul 2014,Trial
Chaos Monkey,Jan 2014,Trial
Fetch,Apr 2016,Trial
Cross-platform mobile toolkits,Mar 2012,Hold
Cross-platform mobile toolkits,Jul 2011,Hold
Bridging physical and digital worlds with simple hardware,Jul 2014,Assess
Bridging physical and digital worlds with simple hardware,Jan 2014,Assess
Event driven business intelligence,Jul 2011,Assess
Zero-code packages,Oct 2012,Hold
Zero-code packages,Mar 2012,Hold
Data visualizations of development and operations,Mar 2012,Adopt
Simple performance trending,Mar 2012,Adopt
Simple performance trending,Jul 2011,Adopt
Vumi,Jul 2014,Adopt
Vumi,Jan 2014,Trial
Vumi,May 2013,Assess
Apache Pig,May 2013,Trial
Apache Pig,Oct 2012,Trial
R as Compute Platform,Jan 2015,Trial
R as Compute Platform,Jul 2014,Trial
Heroku,Mar 2012,Trial
Heroku,Jul 2011,Trial
Heroku,Jan 2011,Trial
Evolutionary database,Mar 2012,Adopt
Evolutionary database,Jul 2011,Adopt
Evolutionary database,Jan 2011,Adopt
Evolutionary database,Aug 2010,Adopt
Evolutionary database,Apr 2010,Adopt
Evolutionary database,Jan 2010,Trial
Accumulate-only data,Nov 2015,Assess
Accumulate-only data,May 2015,Assess
Accumulate-only data,Jan 2015,Assess
Communication between those responsible for hardware and software,Mar 2012,Adopt
Alamofire,Apr 2016,Assess
Auth0,Nov 2016,Trial
Segregated DOM plus node for JS Testing,Jul 2014,Adopt
Segregated DOM plus node for JS Testing,Jan 2014,Adopt
ClojureScript,May 2013,Assess
ClojureScript,Oct 2012,Assess
ClojureScript,Mar 2012,Assess
Riemann,May 2013,Assess
Riemann,Oct 2012,Assess
Brighter,May 2015,Trial
Talisman,Nov 2016,Trial
Rapidoid,Nov 2016,Assess
Flume,Jul 2014,Assess
Web as platform,Jan 2011,Adopt
Web as platform,Aug 2010,Adopt
Web as platform,Apr 2010,Adopt
Web as platform,Jan 2010,Trial
Cursive,May 2015,Trial
Cursive,Jan 2015,Trial
Concourse CI,Apr 2016,Assess
Concourse CI,Nov 2015,Assess
Separate DevOps team,Nov 2015,Hold
Separate DevOps team,May 2015,Hold
Separate DevOps team,Jan 2015,Hold
Separate DevOps team,Jul 2014,Hold
Clojure,Jan 2014,Adopt
Clojure,May 2013,Adopt
Clojure,Oct 2012,Adopt
Clojure,Mar 2012,Trial
Clojure,Jul 2011,Assess
Clojure,Jan 2011,Assess
Clojure,Aug 2010,Assess
Clojure,Apr 2010,Assess
AppHarbor,Mar 2012,Trial
VR beyond gaming,Nov 2016,Assess
VR beyond gaming,Apr 2016,Assess
Robolectric,Nov 2016,Trial
Robolectric,Apr 2016,Trial
REST-assured,Nov 2015,Trial
REST-assured,May 2015,Trial
VCS with “implicit workflow”,Oct 2012,Hold
VCS with “implicit workflow”,Mar 2012,Hold
VCS with “implicit workflow”,Jul 2011,Hold
SMS and USSD as a UI,Jan 2014,Adopt
SMS and USSD as a UI,May 2013,Adopt
Siloed metrics,Jan 2014,Hold
Carthage,Apr 2016,Trial
Carthage,Nov 2015,Trial
Threat Modeling,Nov 2016,Adopt
Threat Modeling,Apr 2016,Adopt
Threat Modeling,Nov 2015,Adopt
Threat Modeling,May 2015,Trial
Singleton infrastructure,May 2013,Hold
Singleton infrastructure,Oct 2012,Hold
AWS,Mar 2012,Adopt
AWS,Jul 2011,Adopt
RDFa,Jan 2011,Assess
RDFa,Aug 2010,Assess
RDFa,Apr 2010,Assess
RDFa,Jan 2010,Assess
Exhaustive browser based testing,May 2013,Hold
Exhaustive browser based testing,Oct 2012,Hold
Apache camel,Jan 2011,Trial
Apache camel,Aug 2010,Trial
Groovy,Jan 2011,Trial
Groovy,Aug 2010,Trial
Groovy,Apr 2010,Trial
Tablet,Mar 2012,Trial
Tablet,Jul 2011,Trial
Tablet,Jan 2011,Trial
Tablet,Aug 2010,Assess
Dependency Structure Matrices,Oct 2012,Trial
Xamarin,May 2015,Trial
Xamarin,Jan 2015,Trial
Xamarin,Jul 2014,Assess
Xamarin,Jan 2014,Assess
Wolfram Language,Jul 2014,Assess
Configuration in DNS,Oct 2012,Trial
Visual Studio Code,Nov 2015,Assess
Swift,Apr 2016,Adopt
Swift,Nov 2015,Adopt
Swift,May 2015,Assess
Swift,Jan 2015,Assess
DevOps,Mar 2012,Adopt
DevOps,Jul 2011,Adopt
DevOps,Jan 2011,Trial
DevOps,Aug 2010,Assess
IE8,Aug 2010,Hold
IE8,Apr 2010,Hold
IE8,Jan 2010,Hold
Capability modeling,Jul 2011,Trial
Capability modeling,Jan 2011,Trial
Capability modeling,Aug 2010,Trial
Test recorders,Oct 2012,Hold
Test recorders,Mar 2012,Hold
Blockchain beyond bitcoin,May 2015,Assess
Blockchain beyond bitcoin,Jan 2015,Assess
vFabric,Mar 2012,Assess
vFabric,Jul 2011,Assess
vFabric,Jan 2011,Assess
Progressive Enhancement,Jul 2011,Adopt
Progressive Enhancement,Jan 2011,Trial
Vert.x,Oct 2012,Assess
Evolutionary architecture,Mar 2012,Adopt
Evolutionary architecture,Jul 2011,Adopt
Evolutionary architecture,Jan 2011,Trial
Evolutionary architecture,Aug 2010,Trial
Evolutionary architecture,Jan 2010,Assess
Emergent design,Mar 2012,Adopt
Emergent design,Jul 2011,Adopt
Emergent design,Jan 2011,Adopt
Emergent design,Aug 2010,Adopt
Emergent design,Apr 2010,Adopt
Emergent design,Jan 2010,Trial
Care about hardware,Oct 2012,Adopt
Care about hardware,Mar 2012,Adopt
Web API,Jan 2014,Trial
Fastly,Nov 2015,Trial
Partition infrastructure along team bounds,Jan 2015,Trial
Visual regression testing tools,Jul 2014,Trial
Visual regression testing tools,Jan 2014,Assess
Build your own radar,Mar 2012,Trial
Build your own radar,Jul 2011,Trial
Collaborative analytics and data science,Jan 2014,Assess
Collaborative analytics and data science,May 2013,Assess
Jade,Oct 2012,Trial
Jade,Mar 2012,Trial
Build pipelines,Jan 2011,Adopt
Build pipelines,Aug 2010,Adopt
Build pipelines,Apr 2010,Adopt
Build pipelines,Jan 2010,Adopt
PowerShell,Mar 2012,Trial
PowerShell,Jul 2011,Trial
Google as corporate platform,Aug 2010,Assess
Google as corporate platform,Apr 2010,Assess
Google as corporate platform,Jan 2010,Assess
Application Servers,Apr 2016,Hold
Application Servers,Nov 2015,Hold
Application Servers,May 2015,Hold
Test at the appropriate level,Mar 2012,Adopt
Haskell Hadoop library,May 2015,Assess
Haskell Hadoop library,Jan 2015,Assess
Rake for Java & .NET,Oct 2012,Trial
Client-directed query,Nov 2016,Assess
Hosted solutions for testing iOS,Jul 2014,Assess
Hosted solutions for testing iOS,Jan 2014,Assess
QA in production,Apr 2016,Trial
QA in production,Nov 2015,Trial
Ember.js,Nov 2016,Adopt
Ember.js,Apr 2016,Trial
Ember.js,Nov 2015,Assess
Ember.js,May 2015,Assess
Hamms,Nov 2015,Trial
Hamms,May 2015,Trial
TLB,Jul 2011,Trial
Static site generators,Jan 2015,Trial
CoffeeScript,Jan 2014,Trial
CoffeeScript,May 2013,Trial
CoffeeScript,Mar 2012,Trial
CoffeeScript,Jul 2011,Trial
Gorilla REPL,Jan 2015,Assess
Silverback,Oct 2012,Adopt
Provisioning testing,Jul 2014,Trial
Provisioning testing,Jan 2014,Trial
Caching reverse proxies,Jul 2011,Adopt
Mobile first,May 2013,Trial
Mobile first,Oct 2012,Trial
Microsoft Nano Server,Nov 2015,Assess
MariaDB,May 2015,Assess
MariaDB,Jan 2015,Assess
WS-*,May 2013,Hold
WS-*,Oct 2012,Hold
WS-*,Mar 2012,Hold
WS-*,Jul 2011,Hold
WS-*,Jan 2011,Hold
WS-*,Aug 2010,Hold
WS-*,Apr 2010,Hold
BigQuery,May 2013,Trial
BigQuery,Oct 2012,Assess
App containers,Jan 2011,Assess
App containers,Aug 2010,Assess
Remote usability testing,Oct 2012,Trial
Docker Toolbox,Nov 2016,Adopt
Docker Toolbox,Apr 2016,Adopt
Docker Toolbox,Jan 2015,Trial
Docker Toolbox,Jul 2014,Trial
Docker Toolbox,Jan 2014,Assess
CoAP,Jan 2015,Assess
CoAP,Jul 2014,Assess
Sonar,Mar 2012,Assess
Sonar,Jul 2011,Assess
Unikernels,Nov 2016,Assess
Unikernels,Apr 2016,Assess
Three.js,Nov 2016,Assess
Functional languages,Jan 2010,Assess
Heavyweight test tools,Jan 2014,Hold
Heavyweight test tools,May 2013,Hold
Rust,Jan 2015,Assess
Rust,Jul 2014,Assess
Polyglot development environments,Jan 2010,Hold
Responsive web design,May 2013,Trial
Responsive web design,Oct 2012,Trial
Yeoman,Jan 2014,Assess
A single CI instance for all teams,Nov 2016,Hold
A single CI instance for all teams,Apr 2016,Hold
AngularJS and Knockout,Oct 2012,Trial
Consumer-driven contract testing,Nov 2016,Adopt
Consumer-driven contract testing,Nov 2015,Adopt
Consumer-driven contract testing,May 2015,Adopt
AWS Lambda,Nov 2016,Trial
AWS Lambda,Apr 2016,Trial
AWS Lambda,Nov 2015,Trial
Espresso,Nov 2016,Trial
Espresso,Nov 2015,Assess
SDN,May 2015,Assess
SDN,Jan 2015,Assess
Butterknife,Nov 2016,Trial
Butterknife,Apr 2016,Trial
HAML,Jul 2011,Trial
HAML,Jan 2011,Trial
Google App Engine,Aug 2010,Assess
Google App Engine,Apr 2010,Assess
Categorization & prioritization of technical debt,Mar 2012,Trial
Categorization & prioritization of technical debt,Jul 2011,Trial
Categorization & prioritization of technical debt,Jan 2011,Trial
Gauge,Apr 2016,Trial
Gauge,Nov 2015,Assess
Cloud lift and shift,Nov 2016,Hold
Cloud lift and shift,Jan 2015,Hold
Cloud lift and shift,Jul 2014,Hold
Cloud lift and shift,Jan 2014,Hold
EC2 & S3,Jan 2011,Trial
EC2 & S3,Aug 2010,Trial
EC2 & S3,Apr 2010,Trial
Decoupling deployment from release,Apr 2016,Adopt
Decoupling deployment from release,Nov 2015,Adopt
Concurrency abstractions and patterns,Jul 2011,Trial
Concurrency abstractions and patterns,Jan 2011,Trial
D3,Jan 2014,Adopt
D3,May 2013,Adopt
D3,Oct 2012,Trial
Github,Mar 2012,Adopt
Github,Jul 2011,Adopt
Github,Jan 2011,Assess
Github,Aug 2010,Assess
Github,Apr 2010,Assess
TOTP Two-Factor Authentication,Apr 2016,Adopt
TOTP Two-Factor Authentication,Nov 2015,Adopt
TOTP Two-Factor Authentication,May 2015,Trial
TOTP Two-Factor Authentication,Jan 2015,Assess
TOTP Two-Factor Authentication,Jul 2014,Assess
Roslyn,Jan 2015,Assess
Roslyn,Jul 2014,Assess
Grunt.js,Jan 2015,Trial
Grunt.js,Jul 2014,Trial
Grunt.js,Jan 2014,Trial
Chrome,Jan 2010,Assess
Graphite,May 2013,Adopt
Graphite,Oct 2012,Adopt
Gradle,May 2013,Adopt
Gradle,Oct 2012,Trial
Gradle,Mar 2012,Assess
Gradle,Jul 2011,Assess
Products over projects,Apr 2016,Adopt
Products over projects,Nov 2015,Adopt
Products over projects,May 2015,Trial
"SASS, SCSS, LESS, and Stylus",Oct 2012,Adopt
"SASS, SCSS, LESS, and Stylus",Mar 2012,Trial
"SASS, SCSS, LESS, and Stylus",Jul 2011,Trial
"SASS, SCSS, LESS, and Stylus",Jan 2011,Trial
Ubiquitous computing,Mar 2012,Trial
Ubiquitous computing,Jul 2011,Trial
Apache Kylin,Nov 2015,Assess
Apache Kylin,May 2015,Assess
Gitflow,Apr 2016,Hold
Gitflow,Nov 2015,Hold
Gulp,Jan 2015,Assess
Gulp,Jul 2014,Trial
Automate database deployment,Mar 2012,Adopt
Automate database deployment,Jul 2011,Adopt
Automate database deployment,Jan 2011,Trial
Dashing,May 2015,Trial
Dashing,Jan 2015,Trial
Automation of technical tests,Jan 2011,Trial
Automation of technical tests,Aug 2010,Trial
Automation of technical tests,Apr 2010,Trial
TLA+,Nov 2015,Assess
Clojure.spec,Nov 2016,Assess
Tangible interaction,Jul 2014,Assess
Tangible interaction,Jan 2014,Assess
Acceptance test of journeys,Mar 2012,Trial
Acceptance test of journeys,Jul 2011,Trial
Acceptance test of journeys,Jan 2011,Trial
Security sandwich,May 2015,Hold
Security sandwich,Jan 2015,Hold
Capturing client-side JavaScript errors,Jan 2014,Adopt
Capturing client-side JavaScript errors,May 2013,Assess
Continuous deployment,Jul 2011,Trial
Continuous deployment,Jan 2011,Trial
Continuous deployment,Aug 2010,Trial
Continuous deployment,Apr 2010,Trial
Continuous deployment,Jan 2010,Assess
Cloudera Impala,Nov 2015,Trial
Cloudera Impala,May 2015,Trial
Visualization and metrics,Jul 2011,Adopt
Visualization and metrics,Jan 2011,Adopt
Visualization and metrics,Aug 2010,Adopt
Visualization and metrics,Apr 2010,Trial
Visualization and metrics,Jan 2010,Trial
Prometheus,Apr 2016,Assess
Prometheus,Nov 2015,Assess
Prometheus,May 2015,Assess
Backend as a service,Jan 2014,Assess
Differential privacy,Nov 2016,Assess
Co-location by telepresence,May 2013,Trial
Faraday,May 2013,Assess
Amazon API Gateway,Nov 2016,Assess
Amazon API Gateway,Apr 2016,Assess
Galen,Nov 2016,Trial
Structured logging,May 2015,Adopt
Structured logging,Jan 2015,Adopt
Structured logging,Jul 2014,Trial
Structured logging,Jan 2014,Trial
Android,Jan 2011,Adopt
Android,Aug 2010,Adopt
Android,Apr 2010,Trial
Android,Jan 2010,Trial
HashiCorp Vault,Nov 2016,Trial
HashiCorp Vault,Apr 2016,Assess
RIA,Mar 2012,Hold
RIA,Jan 2011,Hold
RIA,Aug 2010,Hold
RIA,Apr 2010,Hold
RIA,Jan 2010,Assess
Appium,Jan 2015,Trial
Appium,Jul 2014,Assess
Big enterprise solutions,Jul 2014,Hold
Big enterprise solutions,Jan 2014,Hold
Big enterprise solutions,May 2013,Hold
F#,Oct 2012,Assess
F#,Mar 2012,Assess
F#,Jul 2011,Assess
F#,Jan 2011,Assess
F#,Aug 2010,Assess
F#,Apr 2010,Assess
Swagger,May 2015,Trial
Swagger,Jan 2015,Trial
Swagger,Jul 2014,Assess
Continuous delivery for mobile devices,Jan 2014,Adopt
Continuous delivery for mobile devices,May 2013,Trial
Automated deployment pipeline,May 2013,Adopt
Automated deployment pipeline,Oct 2012,Adopt
Gor,Nov 2015,Assess
Gor,May 2015,Assess
C# 4.0,Jan 2011,Adopt
C# 4.0,Aug 2010,Adopt
C# 4.0,Apr 2010,Adopt
C# 4.0,Jan 2010,Trial
Docker,Nov 2016,Adopt
Docker,Apr 2016,Adopt
Docker,Jan 2015,Trial
Docker,Jul 2014,Trial
Docker,Jan 2014,Assess
Single threaded servers with asynchronous I/O,Oct 2012,Trial
Single threaded servers with asynchronous I/O,Mar 2012,Assess
Django REST,May 2015,Trial
Django REST,Jan 2015,Trial
Visualizations for business data,Apr 2010,Assess
Deflect,Apr 2016,Assess
Blackbox,May 2015,Assess
Blackbox,Jan 2015,Assess
Browser-based templating,May 2013,Assess
Vue.js,Nov 2016,Assess
Work-in-Progress limits,Oct 2012,Adopt
TFS,Jul 2014,Hold
TFS,Jan 2014,Hold
TFS,May 2013,Hold
Buying solutions you can only afford one of,Mar 2012,Hold
Code in configuration,Mar 2012,Hold
Code in configuration,Jul 2011,Hold
Datensparsamkeit,May 2015,Trial
Datensparsamkeit,Jan 2015,Trial
Datensparsamkeit,Jul 2014,Assess
Datensparsamkeit,Jan 2014,Assess
Event API’s,Mar 2012,Trial
Event API’s,Jul 2011,Trial
Zepto.js,May 2013,Assess
API management services,Jul 2011,Assess
API management services,Jan 2011,Assess
TypeScript,Jul 2014,Assess
TypeScript,Jan 2014,Assess
Domain-Specific Languages,Oct 2012,Trial
Domain-Specific Languages,Mar 2012,Trial
Domain-Specific Languages,Jul 2011,Trial
Domain-Specific Languages,Jan 2011,Trial
Domain-Specific Languages,Aug 2010,Trial
Domain-Specific Languages,Apr 2010,Trial
Domain-Specific Languages,Jan 2010,Trial
Ansible,Jul 2014,Adopt
Ansible,Jan 2014,Trial
Bluetooth Mesh,Apr 2016,Assess
Vagrant,Oct 2012,Trial
Vagrant,Mar 2012,Trial
Vagrant,Jul 2011,Assess
Vagrant,Jan 2011,Assess
EventStore,Jan 2015,Assess
EventStore,Jul 2014,Assess
Forward Secrecy,Jan 2015,Adopt
Forward Secrecy,Jul 2014,Adopt
Large format mobile devices,Apr 2010,Assess
Elastic Search,Jan 2014,Adopt
Elastic Search,May 2013,Adopt
Pinpoint,Nov 2016,Assess
Pinpoint,Apr 2016,Assess
Cloud Foundry,Mar 2012,Assess
Cloud Foundry,Jul 2011,Assess
SnapCI,Jan 2015,Trial
SnapCI,Jul 2014,Trial
SnapCI,Jan 2014,Trial
Apache Spark,Nov 2015,Trial
Apache Spark,May 2015,Trial
Apache Spark,Jan 2015,Assess
Apache Spark,Jul 2014,Assess
Hystrix,Jan 2014,Trial
Hystrix,May 2013,Assess
FPM,Mar 2012,Trial
Spring Boot,Nov 2016,Adopt
Spring Boot,Apr 2016,Adopt
Spring Boot,Nov 2015,Trial
Spring Boot,May 2015,Trial
Spring Boot,Jan 2015,Assess
Spring Boot,Jul 2014,Assess
React.js,Nov 2016,Adopt
React.js,Apr 2016,Adopt
React.js,Nov 2015,Trial
React.js,May 2015,Trial
React.js,Jan 2015,Assess
CartoDB,Jul 2014,Trial
Bokeh/Vega,May 2015,Assess
ATOM,Oct 2012,Adopt
ATOM,Mar 2012,Adopt
ATOM,Jul 2011,Adopt
ATOM,Jan 2011,Adopt
ATOM,Aug 2010,Adopt
Spray/akka-http,Jul 2014,Assess
Google Dart,Oct 2012,Hold
Google Dart,Mar 2012,Hold
Subversion,Jul 2011,Adopt
Subversion,Jan 2011,Adopt
Subversion,Aug 2010,Adopt
Subversion,Apr 2010,Adopt
Subversion,Jan 2010,Trial
Lua,May 2013,Assess
Lua,Oct 2012,Assess
Feature branching,Oct 2012,Hold
Feature branching,Mar 2012,Hold
Feature branching,Jul 2011,Hold
Flyway,Jan 2015,Adopt
Flyway,Jul 2014,Trial
Highcharts,Oct 2012,Trial
Front end instrumentation,Jan 2015,Trial
Front end instrumentation,Jul 2014,Trial
Focus on mean time to recovery,May 2015,Adopt
Focus on mean time to recovery,Jan 2015,Adopt
Focus on mean time to recovery,Jul 2014,Trial
Focus on mean time to recovery,Jan 2014,Assess
Focus on mean time to recovery,May 2013,Assess
Jekyll,May 2013,Trial
Jekyll,Oct 2012,Trial
Idempotency filter,Apr 2016,Trial
Idempotency filter,Nov 2015,Trial
Sleepy Puppy,Apr 2016,Assess
Sleepy Puppy,Nov 2015,Assess
Reagent,May 2015,Assess
Reagent,Jan 2015,Assess
Require.js,Oct 2012,Trial
GoCD,May 2015,Adopt
GoCD,Jan 2015,Adopt
GoCD,Jul 2014,Trial
Deis,Nov 2015,Assess
Deis,May 2015,Assess
WebRTC,Nov 2016,Assess
Analyzing test runs,May 2013,Trial
Decision driven BI,Jul 2011,Assess
Text it as a service / Rapidpro.io,May 2015,Assess
Text it as a service / Rapidpro.io,Jan 2015,Assess
HAL,Jan 2015,Trial
HAL,Jul 2014,Trial
Enterprise Data Warehouse,Jul 2014,Hold
Enterprise Data Warehouse,Jan 2014,Hold
Semantic monitoring,May 2013,Trial
Semantic monitoring,Oct 2012,Trial
AppCode,Oct 2012,Adopt
Database based integration,Oct 2012,Hold
Database based integration,Mar 2012,Hold
Database based integration,Jul 2011,Hold
Database based integration,Jan 2011,Hold
Database based integration,Aug 2010,Hold
Icon fonts,Jan 2014,Trial
Icon fonts,May 2013,Assess
AWS ECS,Apr 2016,Assess
AWS ECS,Nov 2015,Assess
Functional Java,Mar 2012,Assess
Linux containers,Oct 2012,Trial
Linux containers,Mar 2012,Trial
Elm,Nov 2016,Assess
Elm,Apr 2016,Assess
Elm,Jul 2014,Assess
Akka,Jan 2014,Assess
Core Async,Jan 2015,Trial
Core Async,Jul 2014,Trial
