technology,date,suggestion
Infrastructure as code,Mar 2012,Adopt
Infrastructure as code,Jul 2011,Adopt
Infrastructure as code,Jan 2011,Adopt
In-process acceptance testing,May 2013,Adopt
In-process acceptance testing,Oct 2012,Adopt
jQuery Mobile,Mar 2012,Assess
jQuery Mobile,Jul 2011,Assess
Hosting PII data in the EU,Nov 2016,Trial
Hosting PII data in the EU,Apr 2016,Assess
Inverse Conway Maneuver,Jan 2015,Trial
Inverse Conway Maneuver,Jul 2014,Trial
Distributed version control,Apr 2010,Trial
Distributed version control,Jan 2010,Trial
Local storage sync,May 2015,Trial
Local storage sync,Jan 2015,Trial
Data Lake,Nov 2016,Trial
Data Lake,Apr 2016,Trial
Data Lake,Nov 2015,Assess
Data Lake,May 2015,Assess
Data Lake,Jan 2015,Assess
FBSnapshotTestcase,Nov 2016,Assess
Foreman,Jan 2015,Trial
Foreman,Jul 2014,Trial
Git based CMS/Git for non-code,May 2015,Assess
Linux security modules,Nov 2016,Adopt
Linux security modules,Apr 2016,Trial
Linux security modules,Nov 2015,Assess
Linux security modules,May 2015,Assess
Linux security modules,Jan 2015,Assess
Handwritten CSS,Jul 2014,Hold
Handwritten CSS,Jan 2014,Hold
Handwritten CSS,May 2013,Hold
Domain-specific PaaS,Oct 2012,Trial
Domain-specific PaaS,Mar 2012,Trial
Gitrob,Apr 2016,Assess
Gitrob,Nov 2015,Trial
Immutable.js,Nov 2016,Trial
Immutable.js,Apr 2016,Assess
Flight.js,May 2015,Assess
Flight.js,Jan 2015,Assess
HyperResource,Nov 2015,Assess
Hybrid clouds,Oct 2012,Trial
Hybrid clouds,Mar 2012,Assess
Gremlin,May 2013,Assess
Gremlin,Oct 2012,Assess
User centered design,Jan 2010,Adopt
ES6,Apr 2016,Adopt
ES6,Nov 2015,Adopt
Ethereum,Nov 2016,Assess
Language workbenches,Apr 2010,Hold
Language workbenches,Jan 2010,Hold
Frege,Nov 2015,Assess
Jenkins as a deployment pipeline,Nov 2016,Hold
Jenkins as a deployment pipeline,Apr 2016,Hold
Immutable servers,May 2013,Adopt
Immutable servers,Oct 2012,Adopt
DigitalOcean,May 2015,Trial
DigitalOcean,Jan 2015,Trial
DigitalOcean,Jul 2014,Assess
Continuous integration in the cloud,May 2013,Trial
Continuous integration in the cloud,Oct 2012,Trial
Bug bounties,Nov 2016,Trial
Bug bounties,Apr 2016,Trial
Bug bounties,Nov 2015,Assess
Flux,Apr 2016,Trial
Flux,Nov 2015,Trial
Flux,May 2015,Assess
HTML5 storage instead of cookies,Jan 2014,Trial
HTML5 storage instead of cookies,May 2013,Trial
Espruino,Jul 2014,Assess
Jackrabbit Oak,May 2015,Assess
Jackrabbit Oak,Jan 2015,Assess
Location based services,Aug 2010,Assess
Location based services,Apr 2010,Assess
Location based services,Jan 2010,Assess
Java 8,Jan 2015,Adopt
Java 8,Jul 2014,Adopt
JuMP,Nov 2016,Assess
Kubernetes,Nov 2016,Trial
Kubernetes,Apr 2016,Trial
Kubernetes,Nov 2015,Assess
JRuby,Jul 2011,Adopt
JRuby,Jan 2011,Adopt
JRuby,Aug 2010,Adopt
JRuby,Apr 2010,Adopt
Long lived branches with Gitflow,May 2015,Hold
Long lived branches with Gitflow,Jan 2015,Hold
Librarian-puppet and Librarian-Chef,Jan 2014,Trial
Librarian-puppet and Librarian-Chef,May 2013,Trial
